language,structure,case,n,implementation,run,time_sec
cpp,binary_heap,1. Push sequential,10000,BinaryHeap,1,0.000603007
cpp,binary_heap,1. Push sequential,10000,BinaryHeap,2,0.000621621
cpp,binary_heap,1. Push sequential,10000,BinaryHeap,3,0.000421155
cpp,binary_heap,1. Push sequential,10000,BinaryHeap,4,0.000444341
cpp,binary_heap,1. Push sequential,10000,BinaryHeap,5,0.000582775
cpp,binary_heap,1. Push sequential,10000,priority_queue,1,0.000837749
cpp,binary_heap,1. Push sequential,10000,priority_queue,2,0.000957303
cpp,binary_heap,1. Push sequential,10000,priority_queue,3,0.000873200
cpp,binary_heap,1. Push sequential,10000,priority_queue,4,0.000799286
cpp,binary_heap,1. Push sequential,10000,priority_queue,5,0.000800438
cpp,binary_heap,1. Push sequential,50000,BinaryHeap,1,0.002155181
cpp,binary_heap,1. Push sequential,50000,BinaryHeap,2,0.002023044
cpp,binary_heap,1. Push sequential,50000,BinaryHeap,3,0.002040309
cpp,binary_heap,1. Push sequential,50000,BinaryHeap,4,0.001984171
cpp,binary_heap,1. Push sequential,50000,BinaryHeap,5,0.001983109
cpp,binary_heap,1. Push sequential,50000,priority_queue,1,0.004302517
cpp,binary_heap,1. Push sequential,50000,priority_queue,2,0.005150453
cpp,binary_heap,1. Push sequential,50000,priority_queue,3,0.004417682
cpp,binary_heap,1. Push sequential,50000,priority_queue,4,0.005223965
cpp,binary_heap,1. Push sequential,50000,priority_queue,5,0.004481743
cpp,binary_heap,1. Push sequential,100000,BinaryHeap,1,0.004543954
cpp,binary_heap,1. Push sequential,100000,BinaryHeap,2,0.004992649
cpp,binary_heap,1. Push sequential,100000,BinaryHeap,3,0.004685765
cpp,binary_heap,1. Push sequential,100000,BinaryHeap,4,0.004268286
cpp,binary_heap,1. Push sequential,100000,BinaryHeap,5,0.004475241
cpp,binary_heap,1. Push sequential,100000,priority_queue,1,0.009186198
cpp,binary_heap,1. Push sequential,100000,priority_queue,2,0.008729385
cpp,binary_heap,1. Push sequential,100000,priority_queue,3,0.009990225
cpp,binary_heap,1. Push sequential,100000,priority_queue,4,0.008601186
cpp,binary_heap,1. Push sequential,100000,priority_queue,5,0.008783319
cpp,binary_heap,1. Push sequential,200000,BinaryHeap,1,0.011040571
cpp,binary_heap,1. Push sequential,200000,BinaryHeap,2,0.008878904
cpp,binary_heap,1. Push sequential,200000,BinaryHeap,3,0.008440292
cpp,binary_heap,1. Push sequential,200000,BinaryHeap,4,0.008803581
cpp,binary_heap,1. Push sequential,200000,BinaryHeap,5,0.008935034
cpp,binary_heap,1. Push sequential,200000,priority_queue,1,0.020911169
cpp,binary_heap,1. Push sequential,200000,priority_queue,2,0.018371971
cpp,binary_heap,1. Push sequential,200000,priority_queue,3,0.016765336
cpp,binary_heap,1. Push sequential,200000,priority_queue,4,0.016703157
cpp,binary_heap,1. Push sequential,200000,priority_queue,5,0.017204568
cpp,binary_heap,1. Push sequential,500000,BinaryHeap,1,0.022210740
cpp,binary_heap,1. Push sequential,500000,BinaryHeap,2,0.022562157
cpp,binary_heap,1. Push sequential,500000,BinaryHeap,3,0.023835940
cpp,binary_heap,1. Push sequential,500000,BinaryHeap,4,0.024489132
cpp,binary_heap,1. Push sequential,500000,BinaryHeap,5,0.021764732
cpp,binary_heap,1. Push sequential,500000,priority_queue,1,0.042404045
cpp,binary_heap,1. Push sequential,500000,priority_queue,2,0.046037315
cpp,binary_heap,1. Push sequential,500000,priority_queue,3,0.045746146
cpp,binary_heap,1. Push sequential,500000,priority_queue,4,0.042529309
cpp,binary_heap,1. Push sequential,500000,priority_queue,5,0.041325320
cpp,binary_heap,1. Push sequential,1000000,BinaryHeap,1,0.047505293
cpp,binary_heap,1. Push sequential,1000000,BinaryHeap,2,0.042675890
cpp,binary_heap,1. Push sequential,1000000,BinaryHeap,3,0.042708502
cpp,binary_heap,1. Push sequential,1000000,BinaryHeap,4,0.043506939
cpp,binary_heap,1. Push sequential,1000000,BinaryHeap,5,0.042147004
cpp,binary_heap,1. Push sequential,1000000,priority_queue,1,0.090566354
cpp,binary_heap,1. Push sequential,1000000,priority_queue,2,0.090011038
cpp,binary_heap,1. Push sequential,1000000,priority_queue,3,0.088097519
cpp,binary_heap,1. Push sequential,1000000,priority_queue,4,0.087852607
cpp,binary_heap,1. Push sequential,1000000,priority_queue,5,0.096830588
cpp,binary_heap,1. Push sequential,2000000,BinaryHeap,1,0.098802600
cpp,binary_heap,1. Push sequential,2000000,BinaryHeap,2,0.093760318
cpp,binary_heap,1. Push sequential,2000000,BinaryHeap,3,0.095025636
cpp,binary_heap,1. Push sequential,2000000,BinaryHeap,4,0.100733793
cpp,binary_heap,1. Push sequential,2000000,BinaryHeap,5,0.093234058
cpp,binary_heap,1. Push sequential,2000000,priority_queue,1,0.176435107
cpp,binary_heap,1. Push sequential,2000000,priority_queue,2,0.176723881
cpp,binary_heap,1. Push sequential,2000000,priority_queue,3,0.187926680
cpp,binary_heap,1. Push sequential,2000000,priority_queue,4,0.185562432
cpp,binary_heap,1. Push sequential,2000000,priority_queue,5,0.177759512
cpp,binary_heap,1. Push sequential,5000000,BinaryHeap,1,0.247560415
cpp,binary_heap,1. Push sequential,5000000,BinaryHeap,2,0.237292091
cpp,binary_heap,1. Push sequential,5000000,BinaryHeap,3,0.231899375
cpp,binary_heap,1. Push sequential,5000000,BinaryHeap,4,0.233657969
cpp,binary_heap,1. Push sequential,5000000,BinaryHeap,5,0.231920150
cpp,binary_heap,1. Push sequential,5000000,priority_queue,1,0.452036376
cpp,binary_heap,1. Push sequential,5000000,priority_queue,2,0.457736854
cpp,binary_heap,1. Push sequential,5000000,priority_queue,3,0.450932033
cpp,binary_heap,1. Push sequential,5000000,priority_queue,4,0.454271264
cpp,binary_heap,1. Push sequential,5000000,priority_queue,5,0.453021515
cpp,binary_heap,1. Push sequential,10000000,BinaryHeap,1,0.505833827
cpp,binary_heap,1. Push sequential,10000000,BinaryHeap,2,0.488581102
cpp,binary_heap,1. Push sequential,10000000,BinaryHeap,3,0.474297412
cpp,binary_heap,1. Push sequential,10000000,BinaryHeap,4,0.474812342
cpp,binary_heap,1. Push sequential,10000000,BinaryHeap,5,0.467308030
cpp,binary_heap,1. Push sequential,10000000,priority_queue,1,0.905695223
cpp,binary_heap,1. Push sequential,10000000,priority_queue,2,0.893135343
cpp,binary_heap,1. Push sequential,10000000,priority_queue,3,0.893081495
cpp,binary_heap,1. Push sequential,10000000,priority_queue,4,0.889212150
cpp,binary_heap,1. Push sequential,10000000,priority_queue,5,0.878889235
cpp,binary_heap,1. Push sequential,15000000,BinaryHeap,1,0.714728733
cpp,binary_heap,1. Push sequential,15000000,BinaryHeap,2,0.711551705
cpp,binary_heap,1. Push sequential,15000000,BinaryHeap,3,0.683698926
cpp,binary_heap,1. Push sequential,15000000,BinaryHeap,4,0.684969462
cpp,binary_heap,1. Push sequential,15000000,BinaryHeap,5,0.670053827
cpp,binary_heap,1. Push sequential,15000000,priority_queue,1,1.324115829
cpp,binary_heap,1. Push sequential,15000000,priority_queue,2,1.300944725
cpp,binary_heap,1. Push sequential,15000000,priority_queue,3,1.282577116
cpp,binary_heap,1. Push sequential,15000000,priority_queue,4,1.320899703
cpp,binary_heap,1. Push sequential,15000000,priority_queue,5,1.313233651
cpp,binary_heap,2. Push reverse sequential,10000,BinaryHeap,1,0.002386324
cpp,binary_heap,2. Push reverse sequential,10000,BinaryHeap,2,0.002168392
cpp,binary_heap,2. Push reverse sequential,10000,BinaryHeap,3,0.002445715
cpp,binary_heap,2. Push reverse sequential,10000,BinaryHeap,4,0.002227336
cpp,binary_heap,2. Push reverse sequential,10000,BinaryHeap,5,0.002446170
cpp,binary_heap,2. Push reverse sequential,10000,priority_queue,1,0.003361697
cpp,binary_heap,2. Push reverse sequential,10000,priority_queue,2,0.003349781
cpp,binary_heap,2. Push reverse sequential,10000,priority_queue,3,0.003276470
cpp,binary_heap,2. Push reverse sequential,10000,priority_queue,4,0.003261573
cpp,binary_heap,2. Push reverse sequential,10000,priority_queue,5,0.003520426
cpp,binary_heap,2. Push reverse sequential,50000,BinaryHeap,1,0.013244447
cpp,binary_heap,2. Push reverse sequential,50000,BinaryHeap,2,0.012759902
cpp,binary_heap,2. Push reverse sequential,50000,BinaryHeap,3,0.013110020
cpp,binary_heap,2. Push reverse sequential,50000,BinaryHeap,4,0.013188496
cpp,binary_heap,2. Push reverse sequential,50000,BinaryHeap,5,0.013339585
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,1,0.019203047
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,2,0.018636281
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,3,0.018425053
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,4,0.018577396
cpp,binary_heap,2. Push reverse sequential,50000,priority_queue,5,0.018920907
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,1,0.027197414
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,2,0.027605752
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,3,0.027629132
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,4,0.027582628
cpp,binary_heap,2. Push reverse sequential,100000,BinaryHeap,5,0.027036020
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,1,0.038817309
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,2,0.039563129
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,3,0.039279431
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,4,0.038926866
cpp,binary_heap,2. Push reverse sequential,100000,priority_queue,5,0.038841674
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,1,0.057937305
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,2,0.058454250
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,3,0.056792664
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,4,0.056439655
cpp,binary_heap,2. Push reverse sequential,200000,BinaryHeap,5,0.056501380
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,1,0.082460953
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,2,0.081991631
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,3,0.082882737
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,4,0.084096527
cpp,binary_heap,2. Push reverse sequential,200000,priority_queue,5,0.082460781
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,1,0.153858459
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,2,0.150632913
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,3,0.152359152
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,4,0.154668785
cpp,binary_heap,2. Push reverse sequential,500000,BinaryHeap,5,0.151284268
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,1,0.219347287
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,2,0.220876408
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,3,0.217147846
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,4,0.221511527
cpp,binary_heap,2. Push reverse sequential,500000,priority_queue,5,0.215934376
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,1,0.313094906
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,2,0.309718563
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,3,0.315382530
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,4,0.313560420
cpp,binary_heap,2. Push reverse sequential,1000000,BinaryHeap,5,0.315902884
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,1,0.451388170
cpp,binary_heap,2. Push reverse sequential,1000000,priority_queue,2,0.444528165
