language,structure,case,n,implementation,run,time_sec
cpp,hash_table,1. Insert sequential,10000,HashTable,1,0.009229745
cpp,hash_table,1. Insert sequential,10000,HashTable,2,0.008468792
cpp,hash_table,1. Insert sequential,10000,HashTable,3,0.008336110
cpp,hash_table,1. Insert sequential,10000,HashTable,4,0.007608655
cpp,hash_table,1. Insert sequential,10000,HashTable,5,0.007458385
cpp,hash_table,1. Insert sequential,10000,unordered_flat_map,1,0.003945811
cpp,hash_table,1. Insert sequential,10000,unordered_flat_map,2,0.003939812
cpp,hash_table,1. Insert sequential,10000,unordered_flat_map,3,0.003841981
cpp,hash_table,1. Insert sequential,10000,unordered_flat_map,4,0.004180912
cpp,hash_table,1. Insert sequential,10000,unordered_flat_map,5,0.003828210
cpp,hash_table,1. Insert sequential,50000,HashTable,1,0.035859126
cpp,hash_table,1. Insert sequential,50000,HashTable,2,0.034318371
cpp,hash_table,1. Insert sequential,50000,HashTable,3,0.033894851
cpp,hash_table,1. Insert sequential,50000,HashTable,4,0.034930133
cpp,hash_table,1. Insert sequential,50000,HashTable,5,0.033375544
cpp,hash_table,1. Insert sequential,50000,unordered_flat_map,1,0.018622472
cpp,hash_table,1. Insert sequential,50000,unordered_flat_map,2,0.018976252
cpp,hash_table,1. Insert sequential,50000,unordered_flat_map,3,0.017855653
cpp,hash_table,1. Insert sequential,50000,unordered_flat_map,4,0.017813481
cpp,hash_table,1. Insert sequential,50000,unordered_flat_map,5,0.018188301
cpp,hash_table,1. Insert sequential,100000,HashTable,1,0.070721231
cpp,hash_table,1. Insert sequential,100000,HashTable,2,0.069915204
cpp,hash_table,1. Insert sequential,100000,HashTable,3,0.071017507
cpp,hash_table,1. Insert sequential,100000,HashTable,4,0.070323581
cpp,hash_table,1. Insert sequential,100000,HashTable,5,0.072966646
cpp,hash_table,1. Insert sequential,100000,unordered_flat_map,1,0.035003962
cpp,hash_table,1. Insert sequential,100000,unordered_flat_map,2,0.033636660
cpp,hash_table,1. Insert sequential,100000,unordered_flat_map,3,0.034248380
cpp,hash_table,1. Insert sequential,100000,unordered_flat_map,4,0.035104678
cpp,hash_table,1. Insert sequential,100000,unordered_flat_map,5,0.035095359
cpp,hash_table,1. Insert sequential,200000,HashTable,1,0.138800655
cpp,hash_table,1. Insert sequential,200000,HashTable,2,0.154659290
cpp,hash_table,1. Insert sequential,200000,HashTable,3,0.142673122
cpp,hash_table,1. Insert sequential,200000,HashTable,4,0.173257776
cpp,hash_table,1. Insert sequential,200000,HashTable,5,0.161827741
cpp,hash_table,1. Insert sequential,200000,unordered_flat_map,1,0.078340183
cpp,hash_table,1. Insert sequential,200000,unordered_flat_map,2,0.075610466
cpp,hash_table,1. Insert sequential,200000,unordered_flat_map,3,0.081585504
cpp,hash_table,1. Insert sequential,200000,unordered_flat_map,4,0.080551416
cpp,hash_table,1. Insert sequential,200000,unordered_flat_map,5,0.074912761
cpp,hash_table,1. Insert sequential,500000,HashTable,1,0.347436760
cpp,hash_table,1. Insert sequential,500000,HashTable,2,0.358429425
cpp,hash_table,1. Insert sequential,500000,HashTable,3,0.466480211
cpp,hash_table,1. Insert sequential,500000,HashTable,4,0.325098060
cpp,hash_table,1. Insert sequential,500000,HashTable,5,0.329864419
cpp,hash_table,1. Insert sequential,500000,unordered_flat_map,1,0.255207568
cpp,hash_table,1. Insert sequential,500000,unordered_flat_map,2,0.240071076
cpp,hash_table,1. Insert sequential,500000,unordered_flat_map,3,0.250153425
cpp,hash_table,1. Insert sequential,500000,unordered_flat_map,4,0.402750676
cpp,hash_table,1. Insert sequential,500000,unordered_flat_map,5,0.228484821
cpp,hash_table,1. Insert sequential,1000000,HashTable,1,0.631103662
cpp,hash_table,1. Insert sequential,1000000,HashTable,2,0.625076403
cpp,hash_table,1. Insert sequential,1000000,HashTable,3,0.746323077
cpp,hash_table,1. Insert sequential,1000000,HashTable,4,0.648430316
cpp,hash_table,1. Insert sequential,1000000,HashTable,5,0.618529295
cpp,hash_table,1. Insert sequential,1000000,unordered_flat_map,1,0.453620618
cpp,hash_table,1. Insert sequential,1000000,unordered_flat_map,2,0.446907648
cpp,hash_table,1. Insert sequential,1000000,unordered_flat_map,3,0.453506226
cpp,hash_table,1. Insert sequential,1000000,unordered_flat_map,4,0.441330691
cpp,hash_table,1. Insert sequential,1000000,unordered_flat_map,5,0.437007634
cpp,hash_table,1. Insert sequential,2000000,HashTable,1,1.206155997
cpp,hash_table,1. Insert sequential,2000000,HashTable,2,1.238591119
