language,structure,case,n,implementation,run,time_sec
python,hash_table,1. Insert sequential,10000,HashTable,1,0.052975202
python,hash_table,1. Insert sequential,10000,HashTable,2,0.055221230
python,hash_table,1. Insert sequential,10000,HashTable,3,0.051398800
python,hash_table,1. Insert sequential,10000,HashTable,4,0.049637126
python,hash_table,1. Insert sequential,10000,HashTable,5,0.050195632
python,hash_table,1. Insert sequential,10000,dict,1,0.000666539
python,hash_table,1. Insert sequential,10000,dict,2,0.000379300
python,hash_table,1. Insert sequential,10000,dict,3,0.000376575
python,hash_table,1. Insert sequential,10000,dict,4,0.000376782
python,hash_table,1. Insert sequential,10000,dict,5,0.000380685
python,hash_table,1. Insert sequential,50000,HashTable,1,0.229352897
python,hash_table,1. Insert sequential,50000,HashTable,2,0.213461308
python,hash_table,1. Insert sequential,50000,HashTable,3,0.236104331
python,hash_table,1. Insert sequential,50000,HashTable,4,0.202734957
python,hash_table,1. Insert sequential,50000,HashTable,5,0.237846877
python,hash_table,1. Insert sequential,50000,dict,1,0.006453866
python,hash_table,1. Insert sequential,50000,dict,2,0.004667816
python,hash_table,1. Insert sequential,50000,dict,3,0.003583014
python,hash_table,1. Insert sequential,50000,dict,4,0.003542904
python,hash_table,1. Insert sequential,50000,dict,5,0.002827314
python,hash_table,1. Insert sequential,100000,HashTable,1,0.427405351
python,hash_table,1. Insert sequential,100000,HashTable,2,0.415112353
python,hash_table,1. Insert sequential,100000,HashTable,3,0.437369247
python,hash_table,1. Insert sequential,100000,HashTable,4,0.416965581
python,hash_table,1. Insert sequential,100000,HashTable,5,0.420552716
python,hash_table,1. Insert sequential,100000,dict,1,0.012472769
python,hash_table,1. Insert sequential,100000,dict,2,0.005339380
python,hash_table,1. Insert sequential,100000,dict,3,0.005814022
python,hash_table,1. Insert sequential,100000,dict,4,0.005273857
python,hash_table,1. Insert sequential,100000,dict,5,0.009253436
python,hash_table,1. Insert sequential,200000,HashTable,1,0.888315272
python,hash_table,1. Insert sequential,200000,HashTable,2,0.894975547
python,hash_table,1. Insert sequential,200000,HashTable,3,0.885985785
python,hash_table,1. Insert sequential,200000,HashTable,4,0.862529684
python,hash_table,1. Insert sequential,200000,HashTable,5,0.910742155
python,hash_table,1. Insert sequential,200000,dict,1,0.035736109
python,hash_table,1. Insert sequential,200000,dict,2,0.018733551
python,hash_table,1. Insert sequential,200000,dict,3,0.025726403
python,hash_table,1. Insert sequential,200000,dict,4,0.022968027
python,hash_table,1. Insert sequential,200000,dict,5,0.027240918
python,hash_table,1. Insert sequential,500000,HashTable,1,2.065959202
python,hash_table,1. Insert sequential,500000,HashTable,2,2.324517988
python,hash_table,1. Insert sequential,500000,HashTable,3,2.087516816
python,hash_table,1. Insert sequential,500000,HashTable,4,2.089347439
python,hash_table,1. Insert sequential,500000,HashTable,5,2.031635080
python,hash_table,1. Insert sequential,500000,dict,1,0.082779614
python,hash_table,1. Insert sequential,500000,dict,2,0.049035830
python,hash_table,1. Insert sequential,500000,dict,3,0.046414699
python,hash_table,1. Insert sequential,500000,dict,4,0.054970648
python,hash_table,1. Insert sequential,500000,dict,5,0.052188344
python,hash_table,1. Insert sequential,1000000,HashTable,1,4.051369763
python,hash_table,1. Insert sequential,1000000,HashTable,2,3.964009124
python,hash_table,1. Insert sequential,1000000,HashTable,3,3.874459446
python,hash_table,1. Insert sequential,1000000,HashTable,4,3.956121685
python,hash_table,1. Insert sequential,1000000,HashTable,5,3.908273714
python,hash_table,1. Insert sequential,1000000,dict,1,0.142279230
python,hash_table,1. Insert sequential,1000000,dict,2,0.103074010
python,hash_table,1. Insert sequential,1000000,dict,3,0.125477389
python,hash_table,1. Insert sequential,1000000,dict,4,0.101863653
python,hash_table,1. Insert sequential,1000000,dict,5,0.097522209
python,hash_table,1. Insert sequential,2000000,HashTable,1,7.776674702
python,hash_table,1. Insert sequential,2000000,HashTable,2,7.847969065
python,hash_table,1. Insert sequential,2000000,HashTable,3,7.760820466
python,hash_table,1. Insert sequential,2000000,HashTable,4,7.698467329
python,hash_table,1. Insert sequential,2000000,HashTable,5,7.666949621
python,hash_table,1. Insert sequential,2000000,dict,1,0.334469876
python,hash_table,1. Insert sequential,2000000,dict,2,0.242072560
python,hash_table,1. Insert sequential,2000000,dict,3,0.248351710
python,hash_table,1. Insert sequential,2000000,dict,4,0.236333840
python,hash_table,1. Insert sequential,2000000,dict,5,0.247221875
python,hash_table,1. Insert sequential,5000000,HashTable,1,17.993183491
python,hash_table,1. Insert sequential,5000000,HashTable,2,17.975081316
python,hash_table,1. Insert sequential,5000000,HashTable,3,17.831503565
python,hash_table,1. Insert sequential,5000000,HashTable,4,17.994165564
python,hash_table,1. Insert sequential,5000000,HashTable,5,18.013113583
python,hash_table,1. Insert sequential,5000000,dict,1,0.715889532
python,hash_table,1. Insert sequential,5000000,dict,2,0.687803988
python,hash_table,1. Insert sequential,5000000,dict,3,0.638225714
python,hash_table,1. Insert sequential,5000000,dict,4,0.652073910
python,hash_table,1. Insert sequential,5000000,dict,5,0.637691415
python,hash_table,1. Insert sequential,10000000,HashTable,1,35.435506861
python,hash_table,1. Insert sequential,10000000,HashTable,2,35.066017657
python,hash_table,1. Insert sequential,10000000,HashTable,3,35.728635799
python,hash_table,1. Insert sequential,10000000,HashTable,4,35.414738024
python,hash_table,1. Insert sequential,10000000,HashTable,5,34.892155505
python,hash_table,1. Insert sequential,10000000,dict,1,1.453750273
python,hash_table,1. Insert sequential,10000000,dict,2,1.448223644
python,hash_table,1. Insert sequential,10000000,dict,3,1.479832655
python,hash_table,1. Insert sequential,10000000,dict,4,1.431345662
python,hash_table,1. Insert sequential,10000000,dict,5,1.455044712
python,hash_table,1. Insert sequential,15000000,HashTable,1,60.367491615
python,hash_table,1. Insert sequential,15000000,HashTable,2,60.793150992
python,hash_table,1. Insert sequential,15000000,HashTable,3,60.857468736
python,hash_table,1. Insert sequential,15000000,HashTable,4,60.530319607
python,hash_table,1. Insert sequential,15000000,HashTable,5,61.554320247
python,hash_table,1. Insert sequential,15000000,dict,1,2.667318788
python,hash_table,1. Insert sequential,15000000,dict,2,2.636913273
python,hash_table,1. Insert sequential,15000000,dict,3,2.631368403
python,hash_table,1. Insert sequential,15000000,dict,4,2.632825776
python,hash_table,1. Insert sequential,15000000,dict,5,2.582580501
python,hash_table,2. Insert random,10000,HashTable,1,0.090445071
python,hash_table,2. Insert random,10000,HashTable,2,0.057354184
python,hash_table,2. Insert random,10000,HashTable,3,0.046157396
python,hash_table,2. Insert random,10000,HashTable,4,0.049195071
python,hash_table,2. Insert random,10000,HashTable,5,0.059772348
python,hash_table,2. Insert random,10000,dict,1,0.001203391
python,hash_table,2. Insert random,10000,dict,2,0.000629294
python,hash_table,2. Insert random,10000,dict,3,0.000520119
python,hash_table,2. Insert random,10000,dict,4,0.000601656
python,hash_table,2. Insert random,10000,dict,5,0.001098058
python,hash_table,2. Insert random,50000,HashTable,1,0.304177852
python,hash_table,2. Insert random,50000,HashTable,2,0.299651200
python,hash_table,2. Insert random,50000,HashTable,3,0.274555852
python,hash_table,2. Insert random,50000,HashTable,4,0.291548821
python,hash_table,2. Insert random,50000,HashTable,5,0.292420162
python,hash_table,2. Insert random,50000,dict,1,0.008376946
python,hash_table,2. Insert random,50000,dict,2,0.005606067
python,hash_table,2. Insert random,50000,dict,3,0.007593916
python,hash_table,2. Insert random,50000,dict,4,0.005559266
python,hash_table,2. Insert random,50000,dict,5,0.006547843
python,hash_table,2. Insert random,100000,HashTable,1,0.617781368
python,hash_table,2. Insert random,100000,HashTable,2,0.591789031
python,hash_table,2. Insert random,100000,HashTable,3,0.606067920
python,hash_table,2. Insert random,100000,HashTable,4,0.616319892
python,hash_table,2. Insert random,100000,HashTable,5,0.621771780
python,hash_table,2. Insert random,100000,dict,1,0.019269312
python,hash_table,2. Insert random,100000,dict,2,0.017200158
python,hash_table,2. Insert random,100000,dict,3,0.013604464
python,hash_table,2. Insert random,100000,dict,4,0.015950650
python,hash_table,2. Insert random,100000,dict,5,0.011570509
python,hash_table,2. Insert random,200000,HashTable,1,1.338558056
python,hash_table,2. Insert random,200000,HashTable,2,1.309798722
python,hash_table,2. Insert random,200000,HashTable,3,1.346846028
python,hash_table,2. Insert random,200000,HashTable,4,1.353902015
python,hash_table,2. Insert random,200000,HashTable,5,1.358528382
python,hash_table,2. Insert random,200000,dict,1,0.064700266
python,hash_table,2. Insert random,200000,dict,2,0.054875668
python,hash_table,2. Insert random,200000,dict,3,0.053244463
python,hash_table,2. Insert random,200000,dict,4,0.051898161
python,hash_table,2. Insert random,200000,dict,5,0.046896213
python,hash_table,2. Insert random,500000,HashTable,1,3.150657321
python,hash_table,2. Insert random,500000,HashTable,2,3.269913001
python,hash_table,2. Insert random,500000,HashTable,3,3.192847473
python,hash_table,2. Insert random,500000,HashTable,4,3.285247473
python,hash_table,2. Insert random,500000,HashTable,5,3.150019935
python,hash_table,2. Insert random,500000,dict,1,0.201114664
python,hash_table,2. Insert random,500000,dict,2,0.159136570
python,hash_table,2. Insert random,500000,dict,3,0.127677033
python,hash_table,2. Insert random,500000,dict,4,0.149392759
python,hash_table,2. Insert random,500000,dict,5,0.153547395
python,hash_table,2. Insert random,1000000,HashTable,1,6.663344920
python,hash_table,2. Insert random,1000000,HashTable,2,6.758482688
python,hash_table,2. Insert random,1000000,HashTable,3,6.661272626
python,hash_table,2. Insert random,1000000,HashTable,4,6.733088601
python,hash_table,2. Insert random,1000000,HashTable,5,6.702823077
python,hash_table,2. Insert random,1000000,dict,1,0.415445391
python,hash_table,2. Insert random,1000000,dict,2,0.372864611
python,hash_table,2. Insert random,1000000,dict,3,0.394863671
python,hash_table,2. Insert random,1000000,dict,4,0.356836469
python,hash_table,2. Insert random,1000000,dict,5,0.387073430
python,hash_table,2. Insert random,2000000,HashTable,1,13.675146815
python,hash_table,2. Insert random,2000000,HashTable,2,13.721500789
python,hash_table,2. Insert random,2000000,HashTable,3,13.615268044
python,hash_table,2. Insert random,2000000,HashTable,4,13.610032310
python,hash_table,2. Insert random,2000000,HashTable,5,13.692826352
python,hash_table,2. Insert random,2000000,dict,1,0.981430114
python,hash_table,2. Insert random,2000000,dict,2,0.948355693
python,hash_table,2. Insert random,2000000,dict,3,0.936240790
python,hash_table,2. Insert random,2000000,dict,4,0.941935218
python,hash_table,2. Insert random,2000000,dict,5,0.961922802
python,hash_table,2. Insert random,5000000,HashTable,1,33.437238245
python,hash_table,2. Insert random,5000000,HashTable,2,33.329380243
python,hash_table,2. Insert random,5000000,HashTable,3,33.517304456
python,hash_table,2. Insert random,5000000,HashTable,4,33.579882180
python,hash_table,2. Insert random,5000000,HashTable,5,33.276421090
python,hash_table,2. Insert random,5000000,dict,1,3.019067094
python,hash_table,2. Insert random,5000000,dict,2,2.959151061
python,hash_table,2. Insert random,5000000,dict,3,2.925114634
python,hash_table,2. Insert random,5000000,dict,4,2.849677956
python,hash_table,2. Insert random,5000000,dict,5,2.929933461
python,hash_table,2. Insert random,10000000,HashTable,1,68.945945908
python,hash_table,2. Insert random,10000000,HashTable,2,69.298716244
python,hash_table,2. Insert random,10000000,HashTable,3,69.171112545
python,hash_table,2. Insert random,10000000,HashTable,4,69.186043161
python,hash_table,2. Insert random,10000000,HashTable,5,69.347696898
python,hash_table,2. Insert random,10000000,dict,1,6.989572830
python,hash_table,2. Insert random,10000000,dict,2,6.920687013
python,hash_table,2. Insert random,10000000,dict,3,6.838609944
python,hash_table,2. Insert random,10000000,dict,4,6.917307609
python,hash_table,2. Insert random,10000000,dict,5,6.947828286
python,hash_table,2. Insert random,15000000,HashTable,1,116.394693364
python,hash_table,2. Insert random,15000000,HashTable,2,116.383205076
python,hash_table,2. Insert random,15000000,HashTable,3,116.684947026
python,hash_table,2. Insert random,15000000,HashTable,4,116.329983098
python,hash_table,2. Insert random,15000000,HashTable,5,116.533381297
python,hash_table,2. Insert random,15000000,dict,1,12.035202390
python,hash_table,2. Insert random,15000000,dict,2,12.005550962
python,hash_table,2. Insert random,15000000,dict,3,11.919558306
python,hash_table,2. Insert random,15000000,dict,4,11.935786006
python,hash_table,2. Insert random,15000000,dict,5,11.943057021
python,hash_table,3. Get existing sequential,10000,HashTable,1,0.011247480
python,hash_table,3. Get existing sequential,10000,HashTable,2,0.006457185
python,hash_table,3. Get existing sequential,10000,HashTable,3,0.010893320
python,hash_table,3. Get existing sequential,10000,HashTable,4,0.011474438
python,hash_table,3. Get existing sequential,10000,HashTable,5,0.010287667
python,hash_table,3. Get existing sequential,10000,dict,1,0.000788165
python,hash_table,3. Get existing sequential,10000,dict,2,0.000485731
python,hash_table,3. Get existing sequential,10000,dict,3,0.000543847
python,hash_table,3. Get existing sequential,10000,dict,4,0.000489805
python,hash_table,3. Get existing sequential,10000,dict,5,0.000380147
python,hash_table,3. Get existing sequential,50000,HashTable,1,0.034633375
python,hash_table,3. Get existing sequential,50000,HashTable,2,0.048631959
python,hash_table,3. Get existing sequential,50000,HashTable,3,0.043761113
python,hash_table,3. Get existing sequential,50000,HashTable,4,0.045993598
python,hash_table,3. Get existing sequential,50000,HashTable,5,0.049708054
python,hash_table,3. Get existing sequential,50000,dict,1,0.005460133
python,hash_table,3. Get existing sequential,50000,dict,2,0.004151747
python,hash_table,3. Get existing sequential,50000,dict,3,0.003403835
python,hash_table,3. Get existing sequential,50000,dict,4,0.004210234
python,hash_table,3. Get existing sequential,50000,dict,5,0.004320341
python,hash_table,3. Get existing sequential,100000,HashTable,1,0.099692568
python,hash_table,3. Get existing sequential,100000,HashTable,2,0.089692153
python,hash_table,3. Get existing sequential,100000,HashTable,3,0.094879800
python,hash_table,3. Get existing sequential,100000,HashTable,4,0.095570637
python,hash_table,3. Get existing sequential,100000,HashTable,5,0.092593680
python,hash_table,3. Get existing sequential,100000,dict,1,0.006604702
python,hash_table,3. Get existing sequential,100000,dict,2,0.005528033
python,hash_table,3. Get existing sequential,100000,dict,3,0.004170151
python,hash_table,3. Get existing sequential,100000,dict,4,0.006973966
python,hash_table,3. Get existing sequential,100000,dict,5,0.007125469
python,hash_table,3. Get existing sequential,200000,HashTable,1,0.211563166
python,hash_table,3. Get existing sequential,200000,HashTable,2,0.201315998
python,hash_table,3. Get existing sequential,200000,HashTable,3,0.186563143
python,hash_table,3. Get existing sequential,200000,HashTable,4,0.197013278
python,hash_table,3. Get existing sequential,200000,HashTable,5,0.186280021
python,hash_table,3. Get existing sequential,200000,dict,1,0.013475458
python,hash_table,3. Get existing sequential,200000,dict,2,0.013453018
python,hash_table,3. Get existing sequential,200000,dict,3,0.012816010
python,hash_table,3. Get existing sequential,200000,dict,4,0.016234691
python,hash_table,3. Get existing sequential,200000,dict,5,0.011949966
python,hash_table,3. Get existing sequential,500000,HashTable,1,0.466785107
python,hash_table,3. Get existing sequential,500000,HashTable,2,0.455937611
python,hash_table,3. Get existing sequential,500000,HashTable,3,0.452219678
python,hash_table,3. Get existing sequential,500000,HashTable,4,0.454564642
python,hash_table,3. Get existing sequential,500000,HashTable,5,0.486560860
python,hash_table,3. Get existing sequential,500000,dict,1,0.030239667
python,hash_table,3. Get existing sequential,500000,dict,2,0.033780864
python,hash_table,3. Get existing sequential,500000,dict,3,0.029781946
python,hash_table,3. Get existing sequential,500000,dict,4,0.031947358
python,hash_table,3. Get existing sequential,500000,dict,5,0.028682551
python,hash_table,3. Get existing sequential,1000000,HashTable,1,0.936398310
python,hash_table,3. Get existing sequential,1000000,HashTable,2,0.940931493
python,hash_table,3. Get existing sequential,1000000,HashTable,3,0.977910783
python,hash_table,3. Get existing sequential,1000000,HashTable,4,0.933228274
python,hash_table,3. Get existing sequential,1000000,HashTable,5,0.943555853
python,hash_table,3. Get existing sequential,1000000,dict,1,0.059607270
python,hash_table,3. Get existing sequential,1000000,dict,2,0.060703898
python,hash_table,3. Get existing sequential,1000000,dict,3,0.064736422
python,hash_table,3. Get existing sequential,1000000,dict,4,0.063449510
python,hash_table,3. Get existing sequential,1000000,dict,5,0.067565474
python,hash_table,3. Get existing sequential,2000000,HashTable,1,1.902605253
python,hash_table,3. Get existing sequential,2000000,HashTable,2,1.841650471
python,hash_table,3. Get existing sequential,2000000,HashTable,3,1.920845297
python,hash_table,3. Get existing sequential,2000000,HashTable,4,1.897853547
python,hash_table,3. Get existing sequential,2000000,HashTable,5,1.879734552
python,hash_table,3. Get existing sequential,2000000,dict,1,0.123673847
python,hash_table,3. Get existing sequential,2000000,dict,2,0.126823132
python,hash_table,3. Get existing sequential,2000000,dict,3,0.122360392
python,hash_table,3. Get existing sequential,2000000,dict,4,0.125956759
python,hash_table,3. Get existing sequential,2000000,dict,5,0.131156152
python,hash_table,3. Get existing sequential,5000000,HashTable,1,4.745770309
python,hash_table,3. Get existing sequential,5000000,HashTable,2,4.574021323
python,hash_table,3. Get existing sequential,5000000,HashTable,3,4.696878376
python,hash_table,3. Get existing sequential,5000000,HashTable,4,4.667713309
python,hash_table,3. Get existing sequential,5000000,HashTable,5,4.637760099
python,hash_table,3. Get existing sequential,5000000,dict,1,0.308827842
python,hash_table,3. Get existing sequential,5000000,dict,2,0.307820976
python,hash_table,3. Get existing sequential,5000000,dict,3,0.306818258
python,hash_table,3. Get existing sequential,5000000,dict,4,0.310220778
python,hash_table,3. Get existing sequential,5000000,dict,5,0.304067316
python,hash_table,3. Get existing sequential,10000000,HashTable,1,9.346925601
python,hash_table,3. Get existing sequential,10000000,HashTable,2,9.306959432
python,hash_table,3. Get existing sequential,10000000,HashTable,3,9.310062726
python,hash_table,3. Get existing sequential,10000000,HashTable,4,9.340307053
python,hash_table,3. Get existing sequential,10000000,HashTable,5,9.264617228
python,hash_table,3. Get existing sequential,10000000,dict,1,0.623121598
python,hash_table,3. Get existing sequential,10000000,dict,2,0.624936100
python,hash_table,3. Get existing sequential,10000000,dict,3,0.622280062
python,hash_table,3. Get existing sequential,10000000,dict,4,0.616846725
python,hash_table,3. Get existing sequential,10000000,dict,5,0.637432296
python,hash_table,3. Get existing sequential,15000000,HashTable,1,14.212325257
python,hash_table,3. Get existing sequential,15000000,HashTable,2,14.159720317
python,hash_table,3. Get existing sequential,15000000,HashTable,3,14.075427736
python,hash_table,3. Get existing sequential,15000000,HashTable,4,14.030099410
python,hash_table,3. Get existing sequential,15000000,HashTable,5,14.122497103
python,hash_table,3. Get existing sequential,15000000,dict,1,0.966487946
python,hash_table,3. Get existing sequential,15000000,dict,2,0.959858698
python,hash_table,3. Get existing sequential,15000000,dict,3,0.944263885
python,hash_table,3. Get existing sequential,15000000,dict,4,0.930571018
python,hash_table,3. Get existing sequential,15000000,dict,5,0.934156929
python,hash_table,4. Get existing random order,10000,HashTable,1,0.014374716
python,hash_table,4. Get existing random order,10000,HashTable,2,0.013120596
python,hash_table,4. Get existing random order,10000,HashTable,3,0.009698832
python,hash_table,4. Get existing random order,10000,HashTable,4,0.010093387
python,hash_table,4. Get existing random order,10000,HashTable,5,0.011257835
python,hash_table,4. Get existing random order,10000,dict,1,0.000930233
python,hash_table,4. Get existing random order,10000,dict,2,0.000588459
python,hash_table,4. Get existing random order,10000,dict,3,0.000587821
python,hash_table,4. Get existing random order,10000,dict,4,0.000854410
python,hash_table,4. Get existing random order,10000,dict,5,0.001427303
python,hash_table,4. Get existing random order,50000,HashTable,1,0.080584289
python,hash_table,4. Get existing random order,50000,HashTable,2,0.075306723
python,hash_table,4. Get existing random order,50000,HashTable,3,0.076278962
python,hash_table,4. Get existing random order,50000,HashTable,4,0.083391390
python,hash_table,4. Get existing random order,50000,HashTable,5,0.089767015
python,hash_table,4. Get existing random order,50000,dict,1,0.017669710
python,hash_table,4. Get existing random order,50000,dict,2,0.014041706
python,hash_table,4. Get existing random order,50000,dict,3,0.010041865
python,hash_table,4. Get existing random order,50000,dict,4,0.010650307
python,hash_table,4. Get existing random order,50000,dict,5,0.011993041
python,hash_table,4. Get existing random order,100000,HashTable,1,0.200402507
python,hash_table,4. Get existing random order,100000,HashTable,2,0.190150778
python,hash_table,4. Get existing random order,100000,HashTable,3,0.187417348
python,hash_table,4. Get existing random order,100000,HashTable,4,0.193990551
python,hash_table,4. Get existing random order,100000,HashTable,5,0.193950110
python,hash_table,4. Get existing random order,100000,dict,1,0.044013602
python,hash_table,4. Get existing random order,100000,dict,2,0.035916243
python,hash_table,4. Get existing random order,100000,dict,3,0.023023460
python,hash_table,4. Get existing random order,100000,dict,4,0.042997699
python,hash_table,4. Get existing random order,100000,dict,5,0.032212263
python,hash_table,4. Get existing random order,200000,HashTable,1,0.432765302
python,hash_table,4. Get existing random order,200000,HashTable,2,0.426629478
python,hash_table,4. Get existing random order,200000,HashTable,3,0.439761118
python,hash_table,4. Get existing random order,200000,HashTable,4,0.437611043
python,hash_table,4. Get existing random order,200000,HashTable,5,0.438705802
python,hash_table,4. Get existing random order,200000,dict,1,0.128488969
python,hash_table,4. Get existing random order,200000,dict,2,0.095727912
python,hash_table,4. Get existing random order,200000,dict,3,0.104588887
python,hash_table,4. Get existing random order,200000,dict,4,0.107920004
python,hash_table,4. Get existing random order,200000,dict,5,0.120336069
python,hash_table,4. Get existing random order,500000,HashTable,1,1.170680642
python,hash_table,4. Get existing random order,500000,HashTable,2,1.203351751
python,hash_table,4. Get existing random order,500000,HashTable,3,1.205861165
python,hash_table,4. Get existing random order,500000,HashTable,4,1.188484212
python,hash_table,4. Get existing random order,500000,HashTable,5,1.161715551
python,hash_table,4. Get existing random order,500000,dict,1,0.437447503
python,hash_table,4. Get existing random order,500000,dict,2,0.435062237
python,hash_table,4. Get existing random order,500000,dict,3,0.456344563
python,hash_table,4. Get existing random order,500000,dict,4,0.408442624
python,hash_table,4. Get existing random order,500000,dict,5,0.421912015
python,hash_table,4. Get existing random order,1000000,HashTable,1,2.369847726
python,hash_table,4. Get existing random order,1000000,HashTable,2,2.481858644
python,hash_table,4. Get existing random order,1000000,HashTable,3,2.445394122
python,hash_table,4. Get existing random order,1000000,HashTable,4,2.400238934
python,hash_table,4. Get existing random order,1000000,HashTable,5,2.439957825
python,hash_table,4. Get existing random order,1000000,dict,1,0.909505276
python,hash_table,4. Get existing random order,1000000,dict,2,0.975084474
python,hash_table,4. Get existing random order,1000000,dict,3,0.959527109
python,hash_table,4. Get existing random order,1000000,dict,4,0.935779467
python,hash_table,4. Get existing random order,1000000,dict,5,0.920408508
python,hash_table,4. Get existing random order,2000000,HashTable,1,5.011826164
python,hash_table,4. Get existing random order,2000000,HashTable,2,4.977861620
python,hash_table,4. Get existing random order,2000000,HashTable,3,4.978534473
python,hash_table,4. Get existing random order,2000000,HashTable,4,4.969838310
python,hash_table,4. Get existing random order,2000000,HashTable,5,5.002132128
python,hash_table,4. Get existing random order,2000000,dict,1,2.109756028
python,hash_table,4. Get existing random order,2000000,dict,2,2.102364766
python,hash_table,4. Get existing random order,2000000,dict,3,2.082212376
python,hash_table,4. Get existing random order,2000000,dict,4,2.131762222
python,hash_table,4. Get existing random order,2000000,dict,5,2.101558646
python,hash_table,4. Get existing random order,5000000,HashTable,1,14.365432237
python,hash_table,4. Get existing random order,5000000,HashTable,2,14.517826635
python,hash_table,4. Get existing random order,5000000,HashTable,3,14.418349936
python,hash_table,4. Get existing random order,5000000,HashTable,4,14.467163381
python,hash_table,4. Get existing random order,5000000,HashTable,5,14.437715386
python,hash_table,4. Get existing random order,5000000,dict,1,5.898951229
python,hash_table,4. Get existing random order,5000000,dict,2,5.963348428
python,hash_table,4. Get existing random order,5000000,dict,3,5.926812243
python,hash_table,4. Get existing random order,5000000,dict,4,5.938881910
python,hash_table,4. Get existing random order,5000000,dict,5,5.852329514
python,hash_table,4. Get existing random order,10000000,HashTable,1,30.547070081
python,hash_table,4. Get existing random order,10000000,HashTable,2,30.407157660
python,hash_table,4. Get existing random order,10000000,HashTable,3,30.441822323
python,hash_table,4. Get existing random order,10000000,HashTable,4,30.424030818
python,hash_table,4. Get existing random order,10000000,HashTable,5,30.610066204
python,hash_table,4. Get existing random order,10000000,dict,1,12.807204417
